"language"	"project"	"country"	"pageviews_percentage"
"Alemannisch"	"als.wikipedia.org"	"Switzerland"	0.05
"Alemannisch"	"als.wikipedia.org"	"United Kingdom"	0.01
"Alemannisch"	"als.wikipedia.org"	"United States"	0.51
"Alemannisch"	"als.wikipedia.org"	"Other"	0.08
"Alemannisch"	"als.wikiquote.org"	"Canada"	0.09
"Alemannisch"	"als.wikiquote.org"	"China"	0.04
"Alemannisch"	"als.wikiquote.org"	"Finland"	0.01
"Alemannisch"	"als.wikiquote.org"	"France"	0.01
"Alemannisch"	"als.wikiquote.org"	"Germany"	0.02
"Alemannisch"	"als.wikiquote.org"	"Ireland"	0.01
"Alemannisch"	"als.wikiquote.org"	"Poland"	0.01
"Alemannisch"	"als.wikiquote.org"	"Russia"	0.05
"Alemannisch"	"als.wikiquote.org"	"Sweden"	0.06
"Alemannisch"	"als.wikiquote.org"	"Switzerland"	0.04
"Alemannisch"	"als.wikiquote.org"	"United Kingdom"	0.01
"Alemannisch"	"als.wikiquote.org"	"United States"	0.44
"Alemannisch"	"als.wikiquote.org"	"Vietnam"	0.21
"Alemannisch"	"als.wiktionary.org"	"Canada"	0.16
"Alemannisch"	"als.wiktionary.org"	"France"	0.09
"Alemannisch"	"als.wiktionary.org"	"Italy"	0.03
"Alemannisch"	"als.wiktionary.org"	"Poland"	0.03
"Alemannisch"	"als.wiktionary.org"	"Russia"	0.09
"Alemannisch"	"als.wiktionary.org"	"United States"	0.59
"Amharic"	"am.wikipedia.org"	"Armenia"	0.01
"Amharic"	"am.wikipedia.org"	"Canada"	0.01
"Amharic"	"am.wikipedia.org"	"China"	0.02
"Amharic"	"am.wikipedia.org"	"Ethiopia"	0.32
"Amharic"	"am.wikipedia.org"	"France"	0.02
"Amharic"	"am.wikipedia.org"	"Germany"	0.03
"Amharic"	"am.wikipedia.org"	"Israel"	0.01
"Amharic"	"am.wikipedia.org"	"Italy"	0.01
"Amharic"	"am.wikipedia.org"	"Japan"	0.02
"Amharic"	"am.wikipedia.org"	"Mexico"	0.01
"Amharic"	"am.wikipedia.org"	"Netherlands"	0.01
"Amharic"	"am.wikipedia.org"	"Poland"	0.01
"Amharic"	"am.wikipedia.org"	"Republic of Korea"	0.01
"Amharic"	"am.wikipedia.org"	"Romania"	0.02
"Amharic"	"am.wikipedia.org"	"Russia"	0.01
"Amharic"	"am.wikipedia.org"	"Saudi Arabia"	0.01
"Amharic"	"am.wikipedia.org"	"South Africa"	0.01
"Amharic"	"am.wikipedia.org"	"Sudan"	0.02
"Amharic"	"am.wikipedia.org"	"Sweden"	0.01
"Amharic"	"am.wikipedia.org"	"United Kingdom"	0.01
"Amharic"	"am.wikipedia.org"	"United States"	0.35
"Amharic"	"am.wikipedia.org"	"Other"	0.1
"Amharic"	"am.wikiquote.org"	"Canada"	0.06
"Amharic"	"am.wikiquote.org"	"China"	0.04
"Amharic"	"am.wikiquote.org"	"Egypt"	0.01
"Amharic"	"am.wikiquote.org"	"Germany"	0.02
"Amharic"	"am.wikiquote.org"	"India"	0.01
"Amharic"	"am.wikiquote.org"	"Netherlands"	0.02
"Amharic"	"am.wikiquote.org"	"Republic of Korea"	0.02
"Amharic"	"am.wikiquote.org"	"Spain"	0.01
"Amharic"	"am.wikiquote.org"	"United States"	0.26
"Amharic"	"am.wikiquote.org"	"Vietnam"	0.56
"Amharic"	"am.wiktionary.org"	"Cambodia"	0.16
"Amharic"	"am.wiktionary.org"	"Canada"	0.04
"Amharic"	"am.wiktionary.org"	"China"	0.06
"Amharic"	"am.wiktionary.org"	"Ethiopia"	0.04
"Amharic"	"am.wiktionary.org"	"France"	0.03
"Amharic"	"am.wiktionary.org"	"Germany"	0.02
"Amharic"	"am.wiktionary.org"	"India"	0.01
"Amharic"	"am.wiktionary.org"	"Indonesia"	0.01
"Amharic"	"am.wiktionary.org"	"Israel"	0.01
"Amharic"	"am.wiktionary.org"	"Japan"	0.06
"Amharic"	"am.wiktionary.org"	"Netherlands"	0.02
"Amharic"	"am.wiktionary.org"	"Poland"	0.02
"Amharic"	"am.wiktionary.org"	"Republic of Korea"	0.03
"Amharic"	"am.wiktionary.org"	"Russia"	0.02
"Amharic"	"am.wiktionary.org"	"Sweden"	0.01
"Amharic"	"am.wiktionary.org"	"Thailand"	0.01
"Amharic"	"am.wiktionary.org"	"Ukraine"	0.01
"Amharic"	"am.wiktionary.org"	"United States"	0.36
"Amharic"	"am.wiktionary.org"	"Vietnam"	0.02
"Amharic"	"am.wiktionary.org"	"Other"	0.07
"Aragonese"	"an.wikipedia.org"	"Canada"	0.01
"Aragonese"	"an.wikipedia.org"	"China"	0.05
"Aragonese"	"an.wikipedia.org"	"Colombia"	0.01
"Aragonese"	"an.wikipedia.org"	"France"	0.03
"Aragonese"	"an.wikipedia.org"	"Germany"	0.04
"Aragonese"	"an.wikipedia.org"	"Italy"	0.01
"Aragonese"	"an.wikipedia.org"	"Mexico"	0.02
"Aragonese"	"an.wikipedia.org"	"Netherlands"	0.01
"Aragonese"	"an.wikipedia.org"	"Poland"	0.01
"Aragonese"	"an.wikipedia.org"	"Republic of Korea"	0.01
"Aragonese"	"an.wikipedia.org"	"Romania"	0.02
"Aragonese"	"an.wikipedia.org"	"Russia"	0.02
"Aragonese"	"an.wikipedia.org"	"Singapore"	0.01
"Aragonese"	"an.wikipedia.org"	"Spain"	0.05
"Aragonese"	"an.wikipedia.org"	"United Kingdom"	0.01
"Aragonese"	"an.wikipedia.org"	"United States"	0.63
"Aragonese"	"an.wikipedia.org"	"Venezuela"	0.01
"Aragonese"	"an.wikipedia.org"	"Other"	0.07
"Aragonese"	"an.wiktionary.org"	"Bangladesh"	0.01
"Aragonese"	"an.wiktionary.org"	"Canada"	0.05
"Aragonese"	"an.wiktionary.org"	"China"	0.11
"Aragonese"	"an.wiktionary.org"	"Colombia"	0.01
"Aragonese"	"an.wiktionary.org"	"France"	0.07
"Aragonese"	"an.wiktionary.org"	"Georgia"	0.01
"Aragonese"	"an.wiktionary.org"	"Germany"	0.04
"Aragonese"	"an.wiktionary.org"	"Iraq"	0.01
"Aragonese"	"an.wiktionary.org"	"Italy"	0.01
"Aragonese"	"an.wiktionary.org"	"Malaysia"	0.01
"Aragonese"	"an.wiktionary.org"	"Mexico"	0.01
"Aragonese"	"an.wiktionary.org"	"Morocco"	0.01
"Aragonese"	"an.wiktionary.org"	"Netherlands"	0.06
"Aragonese"	"an.wiktionary.org"	"Poland"	0.01
"Aragonese"	"an.wiktionary.org"	"Republic of Korea"	0.02
"Aragonese"	"an.wiktionary.org"	"Republic of Moldova"	0.01
"Aragonese"	"an.wiktionary.org"	"Russia"	0.01
"Aragonese"	"an.wiktionary.org"	"Spain"	0.03
"Aragonese"	"an.wiktionary.org"	"Thailand"	0.05
"Aragonese"	"an.wiktionary.org"	"Tunisia"	0.01
"Aragonese"	"an.wiktionary.org"	"Turkey"	0.01
"Aragonese"	"an.wiktionary.org"	"Ukraine"	0.04
"Aragonese"	"an.wiktionary.org"	"United States"	0.39
"Aragonese"	"an.wiktionary.org"	"Vietnam"	0.06
"Aragonese"	"an.wiktionary.org"	"Yemen"	0.01
"Old English"	"ang.wikibooks.org"	"Australia"	0.01
"Old English"	"ang.wikibooks.org"	"Bangladesh"	0.01
"Old English"	"ang.wikibooks.org"	"Canada"	0.06
"Old English"	"ang.wikibooks.org"	"China"	0.03
"Old English"	"ang.wikibooks.org"	"France"	0.02
"Old English"	"ang.wikibooks.org"	"Netherlands"	0.03
"Old English"	"ang.wikibooks.org"	"Poland"	0.02
"Old English"	"ang.wikibooks.org"	"Republic of Korea"	0.02
"Old English"	"ang.wikibooks.org"	"Romania"	0.01
"Old English"	"ang.wikibooks.org"	"Russia"	0.01
"Old English"	"ang.wikibooks.org"	"Spain"	0.01
"Old English"	"ang.wikibooks.org"	"Sweden"	0.02
"Old English"	"ang.wikibooks.org"	"Tunisia"	0.01
"Old English"	"ang.wikibooks.org"	"Ukraine"	0.08
"Old English"	"ang.wikibooks.org"	"United States"	0.36
"Old English"	"ang.wikibooks.org"	"Vietnam"	0.33
"Old English"	"ang.wikipedia.org"	"Algeria"	0.01
"Old English"	"ang.wikipedia.org"	"Australia"	0.01
"Old English"	"ang.wikipedia.org"	"Austria"	0.01
"Old English"	"ang.wikipedia.org"	"Belgium"	0.01
"Old English"	"ang.wikipedia.org"	"Brazil"	0.01
"Old English"	"ang.wikipedia.org"	"Canada"	0.02
"Old English"	"ang.wikipedia.org"	"China"	0.06
"Old English"	"ang.wikipedia.org"	"Colombia"	0.01
"Old English"	"ang.wikipedia.org"	"Czech Republic"	0.01
"Old English"	"ang.wikipedia.org"	"France"	0.05
"Old English"	"ang.wikipedia.org"	"Germany"	0.08
"Old English"	"ang.wikipedia.org"	"India"	0.01
"Old English"	"ang.wikipedia.org"	"Iran"	0.01
"Old English"	"ang.wikipedia.org"	"Israel"	0.01
"Old English"	"ang.wikipedia.org"	"Italy"	0.02
"Old English"	"ang.wikipedia.org"	"Japan"	0.01
"Old English"	"ang.wikipedia.org"	"Mexico"	0.02
"Old English"	"ang.wikipedia.org"	"Morocco"	0.01
"Old English"	"ang.wikipedia.org"	"Netherlands"	0.02
"Old English"	"ang.wikipedia.org"	"Norway"	0.01
"Old English"	"ang.wikipedia.org"	"Poland"	0.03
"Old English"	"ang.wikipedia.org"	"Republic of Korea"	0.01
"Old English"	"ang.wikipedia.org"	"Romania"	0.02
"Old English"	"ang.wikipedia.org"	"Russia"	0.03
"Old English"	"ang.wikipedia.org"	"Serbia"	0.01
"Old English"	"ang.wikipedia.org"	"Spain"	0.02
"Old English"	"ang.wikipedia.org"	"Sweden"	0.01
"Old English"	"ang.wikipedia.org"	"Switzerland"	0.01
"Old English"	"ang.wikipedia.org"	"Tunisia"	0.01
"Old English"	"ang.wikipedia.org"	"Turkey"	0.02
"Old English"	"ang.wikipedia.org"	"Ukraine"	0.02
"Old English"	"ang.wikipedia.org"	"United Kingdom"	0.03
"Old English"	"ang.wikipedia.org"	"United States"	0.31
"Old English"	"ang.wikipedia.org"	"Other"	0.13
"Old English"	"ang.wikiquote.org"	"Australia"	0.03
"Old English"	"ang.wikiquote.org"	"Canada"	0.08
"Old English"	"ang.wikiquote.org"	"China"	0.06
"Old English"	"ang.wikiquote.org"	"Czech Republic"	0.01
"Old English"	"ang.wikiquote.org"	"France"	0.02
"Old English"	"ang.wikiquote.org"	"Germany"	0.03
"Old English"	"ang.wikiquote.org"	"India"	0.01
"Old English"	"ang.wikiquote.org"	"Netherlands"	0.01
"Old English"	"ang.wikiquote.org"	"Pakistan"	0.01
"Old English"	"ang.wikiquote.org"	"Poland"	0.02
"Old English"	"ang.wikiquote.org"	"Republic of Korea"	0.02
"Old English"	"ang.wikiquote.org"	"Romania"	0.02
"Old English"	"ang.wikiquote.org"	"Russia"	0.03
"Old English"	"ang.wikiquote.org"	"Saudi Arabia"	0.01
"Old English"	"ang.wikiquote.org"	"Singapore"	0.01
"Old English"	"ang.wikiquote.org"	"South Africa"	0.01
"Old English"	"ang.wikiquote.org"	"Sudan"	0.01
"Old English"	"ang.wikiquote.org"	"Thailand"	0.01
"Old English"	"ang.wikiquote.org"	"Turkey"	0.01
"Old English"	"ang.wikiquote.org"	"Ukraine"	0.02
"Old English"	"ang.wikiquote.org"	"United Kingdom"	0.02
"Old English"	"ang.wikiquote.org"	"United States"	0.36
"Old English"	"ang.wikiquote.org"	"Vietnam"	0.24
"Old English"	"ang.wikisource.org"	"Canada"	0.24
"Old English"	"ang.wikisource.org"	"China"	0.07
"Old English"	"ang.wikisource.org"	"France"	0.03
"Old English"	"ang.wikisource.org"	"Russia"	0.14
"Old English"	"ang.wikisource.org"	"United States"	0.52
"Old English"	"ang.wiktionary.org"	"Bangladesh"	0.01
"Old English"	"ang.wiktionary.org"	"Bulgaria"	0.02
"Old English"	"ang.wiktionary.org"	"Canada"	0.1
"Old English"	"ang.wiktionary.org"	"China"	0.04
"Old English"	"ang.wiktionary.org"	"Czech Republic"	0.01
"Old English"	"ang.wiktionary.org"	"Egypt"	0.01
"Old English"	"ang.wiktionary.org"	"France"	0.09
"Old English"	"ang.wiktionary.org"	"Germany"	0.03
"Old English"	"ang.wiktionary.org"	"Greece"	0.01
"Old English"	"ang.wiktionary.org"	"India"	0.01
"Old English"	"ang.wiktionary.org"	"Iran"	0.01
"Old English"	"ang.wiktionary.org"	"Italy"	0.01
"Old English"	"ang.wiktionary.org"	"Japan"	0.01
"Old English"	"ang.wiktionary.org"	"Luxembourg"	0.01
"Old English"	"ang.wiktionary.org"	"Netherlands"	0.01
"Old English"	"ang.wiktionary.org"	"Poland"	0.01
"Old English"	"ang.wiktionary.org"	"Republic of Korea"	0.04
"Old English"	"ang.wiktionary.org"	"Republic of Lithuania"	0.01
"Old English"	"ang.wiktionary.org"	"Republic of Moldova"	0.01
"Old English"	"ang.wiktionary.org"	"Romania"	0.01
"Old English"	"ang.wiktionary.org"	"Russia"	0.04
"Old English"	"ang.wiktionary.org"	"Slovenia"	0.01
"Old English"	"ang.wiktionary.org"	"Sweden"	0.05
"Old English"	"ang.wiktionary.org"	"Switzerland"	0.01
"Old English"	"ang.wiktionary.org"	"Ukraine"	0.01
"Old English"	"ang.wiktionary.org"	"United Kingdom"	0.03
"Old English"	"ang.wiktionary.org"	"United States"	0.43
"Old English"	"ang.wiktionary.org"	"Vietnam"	0.04
"Arabic"	"ar.wikibooks.org"	"Algeria"	0.12
"Arabic"	"ar.wikibooks.org"	"Bahrain"	0.01
"Arabic"	"ar.wikibooks.org"	"China"	0.01
"Arabic"	"ar.wikibooks.org"	"Egypt"	0.15
"Arabic"	"ar.wikibooks.org"	"France"	0.01
"Arabic"	"ar.wikibooks.org"	"Germany"	0.01
"Arabic"	"ar.wikibooks.org"	"Hashemite Kingdom of Jordan"	0.03
"Arabic"	"ar.wikibooks.org"	"Iraq"	0.05
"Arabic"	"ar.wikibooks.org"	"Israel"	0.02
"Arabic"	"ar.wikibooks.org"	"Kuwait"	0.01
"Arabic"	"ar.wikibooks.org"	"Lebanon"	0.01
"Arabic"	"ar.wikibooks.org"	"Libya"	0.02
"Arabic"	"ar.wikibooks.org"	"Morocco"	0.09
"Arabic"	"ar.wikibooks.org"	"Oman"	0.02
"Arabic"	"ar.wikibooks.org"	"Palestine"	0.02
"Arabic"	"ar.wikibooks.org"	"Qatar"	0.01
"Arabic"	"ar.wikibooks.org"	"Saudi Arabia"	0.18
"Arabic"	"ar.wikibooks.org"	"Sudan"	0.04
"Arabic"	"ar.wikibooks.org"	"Syria"	0.02
"Arabic"	"ar.wikibooks.org"	"Tunisia"	0.02
"Arabic"	"ar.wikibooks.org"	"Turkey"	0.01
"Arabic"	"ar.wikibooks.org"	"United Arab Emirates"	0.02
"Arabic"	"ar.wikibooks.org"	"United States"	0.05
"Arabic"	"ar.wikibooks.org"	"Vietnam"	0.02
"Arabic"	"ar.wikibooks.org"	"Yemen"	0.03
"Arabic"	"ar.wikibooks.org"	"Other"	0.05
"Arabic"	"ar.wikinews.org"	"Algeria"	0.03
"Arabic"	"ar.wikinews.org"	"Cambodia"	0.08
"Arabic"	"ar.wikinews.org"	"Canada"	0.03
"Arabic"	"ar.wikinews.org"	"China"	0.02
"Arabic"	"ar.wikinews.org"	"Egypt"	0.05
"Arabic"	"ar.wikinews.org"	"France"	0.04
"Arabic"	"ar.wikinews.org"	"Germany"	0.03
"Arabic"	"ar.wikinews.org"	"Hashemite Kingdom of Jordan"	0.02
"Arabic"	"ar.wikinews.org"	"Iraq"	0.02
"Arabic"	"ar.wikinews.org"	"Libya"	0.01
